,id,opt-direction,value
81,2agpe160_c,min,-13.815510557964274
82,2agpe161_c,max,-2.995732273553991
83,2agpe161_c,min,-13.815510557964274
84,2agpe180_c,max,-2.995732273553991
85,2agpe180_c,min,-13.815510557964274
86,2agpe181_c,max,-2.995732273553991
87,2agpe181_c,min,-13.815510557964274
88,2agpg120_c,max,-2.995732273553991
89,2agpg120_c,min,-13.815510557964274
90,2agpg140_c,max,-2.995732273553991
91,2agpg140_c,min,-13.815510557964274
92,2agpg141_c,max,-2.995732273553991
93,2agpg141_c,min,-13.815510557964274
94,2agpg160_c,max,-2.995732273553991
95,2agpg160_c,min,-13.815510557964274
96,2agpg161_c,max,-2.995732273553991
97,2agpg161_c,min,-13.815510557964274
98,2agpg180_c,max,-2.995732273553991
99,2agpg180_c,min,-13.815510557964274
100,2agpg181_c,max,-2.995732273553991
101,2agpg181_c,min,-13.815510557964274
102,2ahbut_c,max,-2.995732273553991
103,2ahbut_c,min,-13.815510557964274
104,2amsa_c,max,-2.995732273553991
105,2amsa_c,min,-13.815510557964274
106,2aobut_c,max,-2.995732273553991
107,2aobut_c,min,-13.303667947503307
108,2cpr5p_c,max,-2.995732273553991
109,2cpr5p_c,min,-13.815510557964274
110,2dda7p_c,max,-2.995732273553991
111,2dda7p_c,min,-13.815510557964274
112,2ddecg3p_c,max,-2.995732273553991
113,2ddecg3p_c,min,-13.815510557964274
114,2ddg6p_c,max,-2.9957322735539913
115,2ddg6p_c,min,-13.815510557964274
116,2ddglcn_c,max,-2.995732273553991
117,2ddglcn_c,min,-13.815510557964274
118,2dh3dgal_c,max,-2.995732273553991
119,2dh3dgal_c,min,-13.815510557964274
120,2dh3dgal6p_c,max,-2.995732273553991
121,2dh3dgal6p_c,min,-13.815510557964274
122,2dhguln_c,max,-2.995732273553991
123,2dhguln_c,min,-13.815510557964274
124,2dhp_c,max,-2.995732273553991
125,2dhp_c,min,-2.995732273553991
126,2dmmq8_c,max,-2.995732273553991
127,2dmmq8_c,min,-13.815510557964274
128,2dmmql8_c,max,-2.995732273553991
129,2dmmql8_c,min,-13.815510557964274
130,2dr1p_c,max,-2.995732273553991
131,2dr1p_c,min,-13.815510557964274
132,2dr5p_c,max,-2.995732273553991
133,2dr5p_c,min,-13.815510557964274
134,2fe1s_c,max,-2.995732273553991
135,2fe1s_c,min,-13.815510557964274
136,2fe2s_c,max,-2.995732273553991
137,2fe2s_c,min,-13.815510557964274
138,2h3oppan_c,max,-2.995732273553991
139,2h3oppan_c,min,-13.815510557964274
140,2hdec9eg3p_c,max,-2.995732273553991
141,2hdec9eg3p_c,min,-13.815510557964274
142,2hdecg3p_c,max,-2.995732273553991
143,2hdecg3p_c,min,-13.815510557964274
144,2ippm_c,max,-3.968948366411114
145,2ippm_c,min,-13.81551055796427
146,2mahmp_c,max,-2.995732273553991
147,2mahmp_c,min,-13.815510557964274
148,2mcacn_c,max,-2.995732273553991
149,2mcacn_c,min,-13.815510557964274
150,2mcit_c,max,-2.995732273553991
151,2mcit_c,min,-13.815510557964274
152,2me4p_c,max,-6.404670739292285
153,2me4p_c,min,-13.815510557964274
154,2mecdp_c,max,-13.815510556275267
155,2mecdp_c,min,-13.815510556275267
156,2obut_c,max,-2.995732273553991
157,2obut_c,min,-13.815510557964274
158,2odec11eg3p_c,max,-2.995732273553991
159,2odec11eg3p_c,min,-13.815510557964274
160,2odecg3p_c,max,-2.995732273553991
161,2odecg3p_c,min,-13.815510557964274
162,2ohph_c,max,-2.995732273553991
163,2ohph_c,min,-13.815510557964274
164,2ombzl_c,max,-2.995732273553991
165,2ombzl_c,min,-13.815510557964274
166,2omhmbl_c,max,-2.995732273553991
167,2omhmbl_c,min,-13.815510557964274
168,2ommbl_c,max,-2.995732273553991
169,2ommbl_c,min,-13.815510557964274
170,2omph_c,max,-2.995732273553991
171,2omph_c,min,-13.815510557964274
172,2oph_c,max,-2.995732273553991
173,2oph_c,min,-13.815510557964274
174,2oxpaccoa_c,max,-2.995732273553991
175,2oxpaccoa_c,min,-13.815510557964274
176,2p4c2me_c,max,-2.995732273553991
177,2p4c2me_c,min,-2.995732275242997
178,2pg_c,max,-8.903813726638624
179,2pg_c,min,-13.815510557964274
180,2pglyc_c,max,-2.995732273553991
181,2pglyc_c,min,-13.815510557964274
182,2sephchc_c,max,-2.995732273553991
183,2sephchc_c,min,-13.815510557964274
184,2shchc_c,max,-2.995732273553991
185,2shchc_c,min,-13.815510557964274
186,2tdec7eg3p_c,max,-2.995732273553991
187,2tdec7eg3p_c,min,-13.815510557964274
188,2tdecg3p_c,max,-2.995732273553991
189,2tdecg3p_c,min,-13.815510557964274
190,2tpr3dpcoa_c,max,-2.995732273553991
191,2tpr3dpcoa_c,min,-13.815510557964274
192,34hpp_c,max,-2.995732273553991
193,34hpp_c,min,-13.815510557964274
194,35cgmp_c,max,-2.995732273553991
