	growth_rate
147	2.5611499801908106
148	2.561149980190795
149	4.025828561950109
150	16.36578480070588
151	9.898754959648713
152	16.010672881023698
153	0.0
154	14.456440957716438
155	14.456440957716415
156	6.489620084679941
157	20.616510630261395
158	16.789310443272896
159	20.613944137315595
160	2.723536585682232
161	14.456440957716396
162	14.456440957716348
163	6.489620084679941
164	20.619453728097145
165	16.789310443272882
166	20.61688650238832
167	2.7235365856822056
168	14.370375305199302
169	14.491978022572368
170	6.942751014505311
171	23.193293821015715
172	15.401344020939673
173	22.354590008743763
174	4.300326859824477
175	4.503652073576955
176	4.53696980753575
177	5.642662148992079
178	5.512533168134333
179	4.490075830098816
180	5.16779777672392
181	3.4211539624891176
182	45.51985779591054
183	45.29140314300496
184	25.395265983812077
185	57.12172210702527
186	55.91591013157141
187	56.56558660105485
188	23.641066706553918
189	22.732789910914907
190	22.732789910914757
191	12.835005267526785
192	36.92628788074688
193	29.22273547255413
194	38.99093874313006
195	10.223398452606826
196	6.476120559462845
197	7.476319755788859
198	6.154515331909864
199	17.090979179777793
200	10.800158612752883
201	16.476563207187347
202	2.706416242336643
203	12.01465380192521
204	14.417650887813013
205	5.97526320662516
206	17.975644656678437
207	11.643969768074315
208	17.973205556844935
209	3.9686234230547015
210	14.860090128289446
211	16.233146445750307
212	9.425974214735536
213	22.43072934251089
214	16.23321000426576
215	22.395994413243496
216	7.752276004687095
217	7.229984033905217
218	7.5853776785300076
219	4.98267212223974
220	13.925802013531687
221	9.0889821133842
222	13.923932289972855
223	1.7410270674027486
224	27.592855972123047
225	27.592855972123044
226	17.407251280316014
227	36.11928064084719
228	34.11439744156098
229	38.06081761694237
230	13.758941342871523
231	43.141321741529666
232	43.141321741529936
233	22.129108190238416
234	53.206387316641006
235	49.714642608233746
236	53.20012756449971
237	21.48483182210436
238	0.8262046527101237
239	0.8262046527101239
240	5.3895999516433
241	0.8262872962919987
242	0.826243797609127
243	0.826243797609129
244	0.23605474435277024
245	0.8072929367715231
246	0.8072929367715123
247	5.176215951549976
248	0.8073718400720471
249	0.8073303100966076
250	0.8073303100966122
251	0.2254902041474441
252	4.941911198801477
253	4.941911198801477
254	4.501515248347208
255	10.424564050601914
256	8.009212766825826
257	10.423256148406365
258	0.0
259	4.981073115040445
260	4.981073115040432
261	4.525278274722224
262	10.50544688926978
263	8.069823664016369
264	10.504118613944991
265	0.0
266	43.14132174153008
267	43.14132174152972
268	32.94008900653016
269	53.20638731664132
270	51.49685243295295
271	53.200127564499724
272	29.13523279394669
273	43.16191614042226
274	43.161916140422214
275	33.55953278540355
276	58.446821858148525
277	56.97252326115685
278	59.246289730785584
279	29.835642191508068
280	43.16191614042211
281	43.161916140422186
282	22.009943164782534
