KEGG,BIGG
C05774,cbi_c
C05774,cbi_e
C00853,cbl1_p
C00853,cbl1_c
C00853,cbl1_e
C00853,cbl1_m
C01563,cbm_c
C00169,cbp_h
C00169,cbp_c
C00169,cbp_r
C00169,cbp_m
C00169,cbp_n
C01413,cd2_p
C01413,cd2_c
C01413,cd2_e
C20248,cdg_c
C00112,cdp_c
C00112,cdp_m
C00112,cdp_n
C11588,cechddd_c
C12622,cenchddd_c
C01419,cgly_p
C01419,cgly_c
C01419,cgly_e
C00114,chol_c
C00114,chol_e
C00114,chol_g
C00114,chol_m
C00114,chol_n
C00114,chol_p
C00114,chol_r
C00251,chor_h
C00251,chor_c
C00251,chor_e
C00423;C10438,cinnm_c;cinnm_c
C00158,cit_p
C00158,cit_c
C00158,cit_e
C00158,cit_m
C00158,cit_x
C00327,citr__L_m
C00327,citr__L_c
C00327,citr__L_e
C00327,citr__L_h
C04121,ckdo_c
C00698;C01327,cl_p;cl_p
C00698;C01327,cl_c;cl_c
C00698;C01327,cl_e;cl_e
C00055,cmp_c
C00055,cmp_e
C00055,cmp_g
C00055,cmp_h
C00055,cmp_m
C00055,cmp_l
C00055,cmp_n
C00055,cmp_p
C00011,co2_c
C00011,co2_e
C00011,co2_g
C00011,co2_h
C00011,co2_m
C00011,co2_n
C00011,co2_p
C00011,co2_r
C00011,co2_v
C00011,co2_x
C00010,coa_c
C00010,coa_e
C00010,coa_g
C00010,coa_h
C00010,coa_m
C00010,coa_l
C00010,coa_n
C00010,coa_s
C00010,coa_r
C00010,coa_x
C00175;C19171,cobalt2_p;cobalt2_p
C00175;C19171,cobalt2_c;cobalt2_c
C00175;C19171,cobalt2_e;cobalt2_e
C20239,cph4_c
C18239,cpmp_c
C03263,cpppg3_h
C03263,cpppg3_c
C00318,crn_c
C00318,crn_e
C00318,crn_m
C00318,crn_p
C00318,crn_r
C00318,crn_x
C15025,crn__D_p
C15025,crn__D_c
C15025,crn__D_e
C20750,crncoa_c
C00380,csn_p
C00380,csn_c
C00380,csn_e
C20748,ctbtcoa_c
C00063,ctp_h
C00063,ctp_c
C00063,ctp_m
C00063,ctp_n
C00070,cu2_p
C00070,cu2_c
C00070,cu2_e
C00070,cu2_u
C00177;C01326,cyan_p;cyan_p
C00177;C01326,cyan_c;cyan_c
C00177;C01326,cyan_e;cyan_e
C00177;C01326,cyan_m;cyan_m
C01417,cynt_p
C01417,cynt_c
C01417,cynt_e
C00793,cys__D_p
C00793,cys__D_c
C00793,cys__D_e
C00097,cys__L_p
C00097,cys__L_c
C00097,cys__L_e
C00097,cys__L_m
C00097,cys__L_h
C02291,cyst__L_x
C02291,cyst__L_c
C02291,cyst__L_e
C02291,cyst__L_h
C03125,cystrna_c
C00475;C02961,cytd_c;cytd_c
C00475;C02961,cytd_e;cytd_e
C00475;C02961,cytd_m;cytd_m
C00475;C02961,cytd_l;cytd_l
C00475;C02961,cytd_n;cytd_n
C00475;C02961,cytd_p;cytd_p
C00559,dad_2_p
C00559,dad_2_c
C00559,dad_2_e
C00559,dad_2_l
C05198,dad_5_c
C05198,dad_5_e
C00206,dadp_h
C00206,dadp_c
C00206,dadp_m
C00206,dadp_n
C00360,damp_c
C00360,damp_e
C00360,damp_h
C00360,damp_m
C00360,damp_l
C00360,damp_p
C01037,dann_c
C01037,dann_e
C00131,datp_c
C00131,datp_m
C00131,datp_n
C15556,db4p_h
C15556,db4p_c
C05275,dc2coa_x
C05275,dc2coa_c
C05275,dc2coa_m
C01571,dca_p
C01571,dca_c
C01571,dca_h
C01571,dca_e
C01571,dca_x
C05755,dcaACP_h
C05755,dcaACP_c
C05755,dcaACP_m
C05274,dcacoa_x
C05274,dcacoa_c
C05274,dcacoa_m
C03794,dcamp_h
C03794,dcamp_c
C00705,dcdp_c
C00705,dcdp_m
C00705,dcdp_n
C00239,dcmp_c
C00239,dcmp_e
C00239,dcmp_m
C00239,dcmp_l
C00239,dcmp_n
C00239,dcmp_p
