,KEGG,Exchange Reaction,BIGG ID,Compound class (level 1),Compound class (level 2),Compound class (level 3),Compound class (level 4)
34,C00095,EX_fru_e,fru_e,Carbohydrates,Monosaccharides,Ketoses [Fig],C00095  D-Fructose; Fruit sugar
191,C16488,EX_frulys_e,frulys_e,,,,
127,C00905,EX_fruur_e,fruur_e,Carbohydrates,Monosaccharides,Sugar acids [Fig],C00905  D-Fructuronic acid
131,C01019,EX_fuc__L_e,fuc__L_e,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C01019  L-Fucose
41,C00122,EX_fum_e,fum_e,,,,
36,C00103,EX_g1p_e,g1p_e,,,,
116,C00670,EX_g3pc_e,g3pc_e,,,,
136,C01233,EX_g3pe_e,g3pe_e,,,,
162,C03274,EX_g3pg_e,g3pg_e,,,,
135,C01225,EX_g3pi_e,g3pi_e,,,,
199,,EX_g3ps_e,g3ps_e,,,,
32,C00092,EX_g6p_e,g6p_e,,,,
102,C00446,EX_gal1p_e,gal1p_e,,,,
128,C00962,EX_gal_bD_e,gal_bD_e,,,,
42,C00124,EX_gal_e,gal_e,Carbohydrates,Monosaccharides,Aldoses [Fig],C00124  D-Galactose
123,C00879,EX_galct__D_e,galct__D_e,,,,
124,C00880,EX_galctn__D_e,galctn__D_e,,,,
190,C15930,EX_galctn__L_e,galctn__L_e,,,,
149,C01697,EX_galt_e,galt_e,,,,
200,,EX_galur_e,galur_e,,,,
93,C00352,EX_gam6p_e,gam6p_e,,,,
88,C00329,EX_gam_e,gam_e,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00329  D-Glucosamine
8,C00031,EX_glc__D_e,glc__D_e,Carbohydrates,Monosaccharides,Aldoses [Fig],C00031  D-Glucose
78,C00257,EX_glcn_e,glcn_e,Carbohydrates,Monosaccharides,Sugar acids [Fig],C00257  D-Gluconic acid
122,C00818,EX_glcr_e,glcr_e,,,,
170,C05385,EX_glcur1p_e,glcur1p_e,,,,
64,C00191,EX_glcur_e,glcur_e,Carbohydrates,Monosaccharides,Sugar acids [Fig],C00191  D-Glucuronic acid
22,C00064,EX_gln__L_e,gln__L_e,Peptides,Amino acids,Common amino acids [Fig],C00064  Glutamine (Gln)
4,C00025,EX_glu__L_e,glu__L_e,Peptides,Amino acids,Common amino acids [Fig],C00025  Glutamic acid (Glu)
5,C00025,EX_glu__L_e,glu__L_e,Hormones and transmitters,Neurotransmitters [Fig],Amino acids,C00025  Glutamate
10,C00037,EX_gly_e,gly_e,Peptides,Amino acids,Common amino acids [Fig],C00037  Glycine (Gly)
11,C00037,EX_gly_e,gly_e,Hormones and transmitters,Neurotransmitters [Fig],Amino acids,C00037  Glycine
112,C00577,EX_glyald_e,glyald_e,Carbohydrates,Monosaccharides,Aldoses [Fig],C00577  D-Glyceraldehyde
161,C02979,EX_glyc2p_e,glyc2p_e,,,,
33,C00093,EX_glyc3p_e,glyc3p_e,,,,
