Exchange Reaction,Metabolite,Source,KEGG,BIGG ID,Compound class (level 1),Compound class (level 2),Compound class (level 3),Compound class (level 4),smap
EX_23dappa_e,"2,3-diaminopropionate",Carbon,C03401,23dappa_e,,,,,0
EX_din_e,Deoxyinosine,Carbon,C05512,din_e,,,,,0
EX_peamn_e,Phenethylamine,Nitrogen,C05332,peamn_e,Peptides,Amines,Biogenic amines [Fig],C05332  Phenethylamine,1
EX_LalaDgluMdap_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",Nitrogen,,LalaDgluMdap_e,,,,,1
EX_xtsn_e,Xanthosine,Nitrogen,C01762,xtsn_e,,,,,1
EX_LalaDglu_e,L-alanine-D-glutamate,Nitrogen,C20957,LalaDglu_e,,,,,1
EX_ptrc_e,Putrescine,Nitrogen,C00134,ptrc_e,Peptides,Amines,Biogenic amines [Fig],C00134  Putrescine,1
EX_pro__L_e,L-Proline,Nitrogen,C00148,pro__L_e,Peptides,Amino acids,Common amino acids [Fig],C00148  Proline (Pro),1
EX_xan_e,Xanthine,Nitrogen,C00385,xan_e,,,,,1
EX_LalaLglu_e,L-alanine-L-glutamate,Nitrogen,C20958,LalaLglu_e,,,,,1
EX_pser__L_e,O-Phospho-L-serine,Nitrogen,C01005,pser__L_e,,,,,1
EX_uri_e,Uridine,Nitrogen,C00299,uri_e,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00299  Uridine (U),1
EX_progly_e,L-Prolinylglycine,Nitrogen,,progly_e,,,,,1
EX_xmp_e,Xanthosine 5'-phosphate,Nitrogen,C00655,xmp_e,,,,,1
EX_23camp_e,"2',3'-Cyclic AMP",Nitrogen,C02353,23camp_e,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides","C02353  2',3'-Cyclic AMP",1
EX_4abut_e,4-Aminobutanoate,Nitrogen,C00334,4abut_e,Peptides,Amino acids,Other amino acids [Fig],C00334  gamma-Aminobutyric acid,1
EX_LalaDgluMdapDala_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",Nitrogen,,LalaDgluMdapDala_e,,,,,1
EX_tym_e,Tyramine,Nitrogen,C00483,tym_e,Peptides,Amines,Biogenic amines [Fig],C00483  Tyramine,1
EX_trp__L_e,L-Tryptophan,Nitrogen,C00078,trp__L_e,Peptides,Amino acids,Common amino acids [Fig],C00078  Tryptophan (Trp),1
EX_3amp_e,3'-AMP,Nitrogen,C01367,3amp_e,,,,,1
EX_23dappa_e,"2,3-diaminopropionate",Nitrogen,C03401,23dappa_e,,,,,1
EX_uacgam_e,UDP-N-acetyl-D-glucosamine,Nitrogen,C00043,uacgam_e,,,,,1
EX_udpacgal_e,UDP-N-acetyl-D-galactosamine,Nitrogen,C00203,udpacgal_e,,,,,1
EX_acgam1p_e,N-Acetyl-D-glucosamine 1-phosphate,Nitrogen,C04256,acgam1p_e,,,,,1
EX_thrp_e,L-Threonine O-3-phosphate,Nitrogen,C12147,thrp_e,,,,,1
EX_23cump_e,"2',3'-Cyclic UMP",Nitrogen,C02355,23cump_e,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides","C02355  2',3'-Cyclic UMP",1
EX_23ccmp_e,"2',3'-Cyclic CMP",Nitrogen,C02354,23ccmp_e,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides","C02354  2',3'-Cyclic CMP",1
EX_udpg_e,UDPglucose,Nitrogen,C00029,udpg_e,Vitamins and cofactors,Cofactors,Coenzymes [Fig],C00029  UDP-glucose,1
EX_3gmp_e,3'-GMP,Nitrogen,C06193,3gmp_e,,,,,1
EX_udpgal_e,UDPgalactose,Nitrogen,C00052,udpgal_e,,,,,1
EX_23cgmp_e,"2',3'-Cyclic GMP",Nitrogen,C06194,23cgmp_e,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides","C06194  2',3'-Cyclic GMP",1
EX_3ump_e,3'-UMP,Nitrogen,C01368,3ump_e,,,,,1
EX_udpglcur_e,UDP-D-glucuronate,Nitrogen,C00167,udpglcur_e,,,,,1
EX_ser__L_e,L-Serine,Nitrogen,C00065,ser__L_e,Peptides,Amino acids,Common amino acids [Fig],C00065  Serine (Ser),1
EX_ser__D_e,D-Serine,Nitrogen,C00740,ser__D_e,Peptides,Amino acids,Other amino acids [Fig],C00740  D-Serine,1
EX_ump_e,UMP,Nitrogen,C00105,ump_e,Nucleic acids,Nucleotides [Fig],Ribonucleotides,C00105  UMP,1
EX_ura_e,Uracil,Nitrogen,C00106,ura_e,Nucleic acids,Bases [Fig],Pyrimidines,C00106  Uracil (Ura),1
EX_thr__L_e,L-Threonine,Nitrogen,C00188,thr__L_e,Peptides,Amino acids,Common amino acids [Fig],C00188  Threonine (Thr),1
