,NAD/NADP,NAD only
DHAD1,0.7119111015626837,0.6157332563123799
DHAD1_reverse_39dca,0.0,0.0
KARA1,0.0,0.0
KARA1_reverse_2b971,0.7119111015626837,0.6157332563123799
DHAD2,0.23657184897880357,0.20461143898980724
DHAD2_reverse_755c6,0.0,0.0
KARA2,0.23657184897880357,0.20461143898980724
KARA2_reverse_65e99,0.0,0.0
DOGULNR,0.0,0.0
DOGULNR_reverse_c4196,0.0,0.0
ADSL2r,0.364413464080173,0.3151818933426467
ADSL2r_reverse_42348,0.0,0.0
PRASCSi,0.364413464080173,0.3151818933426467
PRASCSi_reverse_11704,0.0,0.0
DKGLCNR1,0.0,0.0
DKGLCNR1_reverse_5f829,0.0,0.0
DKGLCNR2x,0.0,0.0
DKGLCNR2x_reverse_1e5cd,0.0,0.0
DKGLCNR2y,0.0,
DKGLCNR2y_reverse_33a59,0.0,
DHPPDA2,0.0003737470852356889,0.00032325455990823445
DHPPDA2_reverse_9e131,0.0,0.0
GTPCII2,0.0003737470852356889,0.00032325455990823445
GTPCII2_reverse_63cd8,0.0,0.0
DAPE,0.3025382095229027,0.26166586881361065
DAPE_reverse_e08be,0.0,0.0
SDPDS,0.3025382095229027,0.26166586881361065
SDPDS_reverse_43d25,0.0,0.0
DAPDC,0.2794287400844619,0.2416784450499573
DAPDC_reverse_d3ab8,0.0,0.0
DAPabcpp,0.0,0.0
DAPabcpp_reverse_bfa35,0.0,0.0
LADGMDH,0.0,0.0
LADGMDH_reverse_f7b48,0.0,0.0
UAAGDS,0.02310946943844079,0.019987423763653322
UAAGDS_reverse_313a9,0.0,0.0
2AGPE120tipp,0.0,0.0
2AGPE120tipp_reverse_015fb,0.0,0.0
2AGPEAT120,0.0,0.0
2AGPEAT120_reverse_cbf7b,0.0,0.0
LPLIPAL2ATE120,0.0,0.0
LPLIPAL2ATE120_reverse_deb80,0.0,0.0
LPLIPAL2E120,0.0,0.0
LPLIPAL2E120_reverse_f1aae,0.0,0.0
2AGPE140tipp,0.0,0.0
2AGPE140tipp_reverse_d6097,0.0,0.0
2AGPEAT140,0.0,0.0
2AGPEAT140_reverse_195ed,0.0,0.0
LPLIPAL2ATE140,0.0,0.0
LPLIPAL2ATE140_reverse_0c69d,0.0,0.0
LPLIPAL2E140,0.0,0.0
LPLIPAL2E140_reverse_075ab,0.0,0.0
2AGPE141tipp,0.0,0.0
2AGPE141tipp_reverse_ae862,0.0,0.0
2AGPEAT141,0.0,0.0
2AGPEAT141_reverse_0e3c9,0.0,0.0
LPLIPAL2ATE141,0.0,0.0
LPLIPAL2ATE141_reverse_eae4b,0.0,0.0
LPLIPAL2E141,0.0,0.0
LPLIPAL2E141_reverse_3ee47,0.0,0.0
2AGPE160tipp,0.0,0.0
2AGPE160tipp_reverse_2f53f,0.0,0.0
2AGPEAT160,0.0,0.0
2AGPEAT160_reverse_16239,0.0,0.0
LPLIPAL2ATE160,0.0,0.0
LPLIPAL2ATE160_reverse_bcf82,0.0,0.0
LPLIPAL2E160,0.0,0.0
LPLIPAL2E160_reverse_ad528,0.0,0.0
2AGPE161tipp,0.0,0.0
2AGPE161tipp_reverse_39d2b,0.0,0.0
2AGPEAT161,0.0,0.0
2AGPEAT161_reverse_5858e,0.0,0.0
LPLIPAL2ATE161,0.0,0.0
LPLIPAL2ATE161_reverse_a516f,0.0,0.0
LPLIPAL2E161,0.0,0.0
