,Metabolite,Exchange Reaction,Source
10,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",EX_LalaDgluMdapDala_e,Nitrogen
11,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",EX_LalaDgluMdap_e,Nitrogen
12,L-alanine-D-glutamate,EX_LalaDglu_e,Nitrogen
13,L-alanine-L-glutamate,EX_LalaLglu_e,Nitrogen
14,N-Acetyl-D-glucosamine 1-phosphate,EX_acgam1p_e,Nitrogen
15,N-Acetyl-D-glucosamine,EX_acgam_e,Nitrogen
16,N-Acetyl-D-mannosamine,EX_acmana_e,Nitrogen
17,N-Acetylmuramate,EX_acmum_e,Nitrogen
18,N-Acetylneuraminate,EX_acnam_e,Nitrogen
19,Adenine,EX_ade_e,Nitrogen
20,Adenosine,EX_adn_e,Nitrogen
21,Agmatine,EX_agm_e,Nitrogen
22,D-Alanine,EX_ala__D_e,Nitrogen
23,L-Alanine,EX_ala__L_e,Nitrogen
24,D-Alanyl-D-alanine,EX_alaala_e,Nitrogen
25,Allantoin,EX_alltn_e,Nitrogen
26,AMP,EX_amp_e,Nitrogen
27,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,EX_anhgm_e,Nitrogen
28,L-Arginine,EX_arg__L_e,Nitrogen
29,L-Asparagine,EX_asn__L_e,Nitrogen
30,L-Aspartate,EX_asp__L_e,Nitrogen
31,Cys-Gly,EX_cgly_e,Nitrogen
32,Chitobiose,EX_chtbs_e,Nitrogen
33,CMP,EX_cmp_e,Nitrogen
34,Cytosine,EX_csn_e,Nitrogen
35,Cyanate,EX_cynt_e,Nitrogen
36,D-Cysteine,EX_cys__D_e,Nitrogen
37,L-Cysteine,EX_cys__L_e,Nitrogen
38,Cytidine,EX_cytd_e,Nitrogen
39,Deoxyadenosine,EX_dad_2_e,Nitrogen
40,DAMP,EX_damp_e,Nitrogen
41,DCMP,EX_dcmp_e,Nitrogen
42,Deoxycytidine,EX_dcyt_e,Nitrogen
43,DGMP,EX_dgmp_e,Nitrogen
44,Deoxyguanosine,EX_dgsn_e,Nitrogen
45,DIMP,EX_dimp_e,Nitrogen
46,Deoxyinosine,EX_din_e,Nitrogen
47,Dopamine,EX_dopa_e,Nitrogen
48,DUMP,EX_dump_e,Nitrogen
49,Deoxyuridine,EX_duri_e,Nitrogen
50,Ethanolamine,EX_etha_e,Nitrogen
51,Sn-Glycero-3-phosphoethanolamine,EX_g3pe_e,Nitrogen
52,Glycerophosphoserine,EX_g3ps_e,Nitrogen
53,D-Glucosamine 6-phosphate,EX_gam6p_e,Nitrogen
54,D-Glucosamine,EX_gam_e,Nitrogen
55,L-Glutamine,EX_gln__L_e,Nitrogen
56,L-Glutamate,EX_glu__L_e,Nitrogen
57,Glycine,EX_gly_e,Nitrogen
58,GMP,EX_gmp_e,Nitrogen
59,Guanosine,EX_gsn_e,Nitrogen
60,Reduced glutathione,EX_gthrd_e,Nitrogen
61,Guanine,EX_gua_e,Nitrogen
62,Hypoxanthine,EX_hxan_e,Nitrogen
63,IMP,EX_imp_e,Nitrogen
64,Inosine,EX_ins_e,Nitrogen
65,Ammonia,EX_nh4_e,Nitrogen
66,Nitrite,EX_no2_e,Nitrogen
67,Nitrate,EX_no3_e,Nitrogen
68,Nitric oxide,EX_no_e,Nitrogen
69,Ornithine,EX_orn_e,Nitrogen
70,Orotate,EX_orot_e,Nitrogen
71,Phenethylamine,EX_peamn_e,Nitrogen
72,L-Proline,EX_pro__L_e,Nitrogen
73,L-Prolinylglycine,EX_progly_e,Nitrogen
74,O-Phospho-L-serine,EX_pser__L_e,Nitrogen
75,Putrescine,EX_ptrc_e,Nitrogen
76,D-Serine,EX_ser__D_e,Nitrogen
77,L-Serine,EX_ser__L_e,Nitrogen
78,L-Threonine,EX_thr__L_e,Nitrogen
79,L-Threonine O-3-phosphate,EX_thrp_e,Nitrogen
80,L-Tryptophan,EX_trp__L_e,Nitrogen
81,Tyramine,EX_tym_e,Nitrogen
82,UDP-N-acetyl-D-glucosamine,EX_uacgam_e,Nitrogen
83,UDP-N-acetyl-D-galactosamine,EX_udpacgal_e,Nitrogen
84,UDPglucose,EX_udpg_e,Nitrogen
85,UDPgalactose,EX_udpgal_e,Nitrogen
86,UDP-D-glucuronate,EX_udpglcur_e,Nitrogen
87,UMP,EX_ump_e,Nitrogen
88,Uracil,EX_ura_e,Nitrogen
89,Uridine,EX_uri_e,Nitrogen
90,Xanthine,EX_xan_e,Nitrogen
91,Xanthosine 5'-phosphate,EX_xmp_e,Nitrogen
92,Xanthosine,EX_xtsn_e,Nitrogen
0,Trimethylamine N-oxide,EX_tmao_e,Electron
1,Dimethyl sulfoxide,EX_dmso_e,Electron
2,Fumarate,EX_fum_e,Electron
3,O2,EX_o2_e,Electron
4,Nitrite,EX_no2_e,Electron
5,Nitrate,EX_no3_e,Electron
6,None,NA,Electron
