,rn,deltaG_prime,deltaG_prime (error),deltaG_prime_m,deltaG_prime_m (error)
125,5DGLCNR,-18.057655400303474,3.24786422236059,-18.057655400303474,3.24786422236059
126,ACOAD6f,40.12638893627263,3.2020083919820554,40.12638893627263,3.2020083919820554
127,ACOAD7f,42.87553542271871,3.5477850175230032,42.87553542271871,3.5477850175230032
128,ACOAD8f,40.126388936271724,3.202008391982055,40.126388936271724,3.202008391982055
129,5DGLCNt2rpp,0.0,0.0,0.0,0.0
130,5DGLCNtex,0.0,0.0,0.0,0.0
131,ACODA,-7.101295312152217,3.4970619114136614,-24.21613284687325,3.4970619114136614
132,ACOLIPAabctex,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
133,ACONIs,4.504454531325052,2.836607365130729,4.504454531325052,2.836607365130729
134,ACONMT,48.930856253453726,100006.06664388574,48.930856253453726,100006.06664388574
135,ACONTa,8.469226568156955,1.1340541692951622,8.469226568156955,1.1340541692951622
136,ACONTb,-1.6232196001618604,1.1348672841271563,-1.6232196001618604,1.1348672841271563
137,ACOTA,-3.1814524606614896,3.3712824470218132,-3.1814524606614896,3.3712824470218132
138,AGM4PCPpp,327.024025237979,62805.91689531349,309.909187703258,62805.91689531349
139,AGM4Pt2pp,0.0,0.0,0.0,0.0
140,AGMHE,0.0,0.0,0.0,0.0
141,AGMT,-58.5895436942651,6.309728808487649,-75.70438122898614,6.309728808487649
142,AGMt2pp,0.0,0.0,0.0,0.0
143,AGMtex,0.0,0.0,0.0,0.0
144,ACS,-7.637193532876864,0.4044620754885452,-7.637193532876864,0.4044620754885452
145,ACSERtex,0.0,0.0,0.0,0.0
146,ACSERtpp,0.0,0.0,0.0,0.0
147,AGPR,5.097944621237502,1.6151493063354805,22.212782155958536,1.6151493063354805
148,ACt2rpp,0.0,0.0,0.0,0.0
149,ACt4pp,0.0,0.0,0.0,0.0
150,ACtex,0.0,0.0,0.0,0.0
151,ADA,-20.83499232175538,0.7258524989652704,-37.94982985647641,0.7258524989652704
152,ADCL,-90.49215783172303,7.808980386613585,-107.60699536644407,7.808980386613585
153,AGt3,0.0,0.0,0.0,0.0
154,AHCYSNS,-16.36274340329362,2.808510420086796,-33.477580938014654,2.808510420086796
155,ADCS,-18.0109577549934,3.055354350782541,-18.0109577549934,3.055354350782541
156,AICART,12.24716937781534,3.749418976951671,12.24716937781534,3.749418976951671
157,AMALT3,-1.297968973443858,2.2485550011722766,-1.297968973443858,2.2485550011722766
158,AIRC2,-55.630401172523676,5.984946507791463,-55.630401172523676,5.984946507791463
159,AIRC3,-30.704799137604255,6.027288685399921,-30.704799137604255,6.027288685399921
160,AKGDH,-28.18815441239758,3.884974299875713,-28.18815441239758,3.884974299875713
161,AKGt2rpp,0.0,0.0,0.0,0.0
162,AKGtex,0.0,0.0,0.0,0.0
163,ALAALAD,-1.6677137878976964,4.293873440990755,-18.78255132261873,4.293873440990755
