,reaction,gene,gene_name,deltaG_prime_m,deltaG_prime_m (error),wild type coenzyme,mutant coenzyme,max_deltaG (WT),min_deltaG (WT),max_deltaG (mutant),min_deltaG (mutant),direction (wild type),direction (mutant)
85,TAGURr,b1521,uxaB,15.80719344,1.441709818,NAD(H),NADP(H),30.10064711640883,-15.563428903873243,48.667986963832554,3.003910943550487,reversible,irreversible (backward)
86,TDPDRR,b2040,rfbD,3.555553593,1.5859759759999998,NADP(H),NAD(H),16.358836089449515,-29.305239930832556,34.92617593687324,-10.737900083408828,reversible,reversible
87,THRD,b3616,tdh,23.12421295,2.7101042339999997,NAD(H),NADP(H),37.41766662640883,-8.246409393873243,55.985006473832556,10.320930453550487,reversible,irreversible (backward)
88,TRDR,b0888,trxB,-8.429741833,1.473446104,NADP(H),NAD(H),4.373540663449514,-41.29053535683256,22.940880510873242,-22.723195509408825,reversible,reversible
89,UACMAMO,b3787,wecC,-29.30794656,1.322685171,NAD(H),NADP(H),-23.553077217323384,-69.21715323760546,13.581602477524083,-32.082473542757995,irreversible (forward),reversible
90,UAPGR,b3972,murB,-56.00173509,1.299058977,NADP(H),NAD(H),-43.198452593550485,-88.86252861383255,-24.631112746126753,-70.29518876640883,irreversible (forward),irreversible (forward)
91,UDPGD,b2028,ugd,-26.705203899999997,2.201167426,NAD(H),NADP(H),-20.95033455732338,-66.61441057760545,16.184345137524087,-29.479730882757988,irreversible (forward),reversible
92,UDPGDC,b2255,arnA,-28.18456695,3.850470646,NAD(H),NADP(H),-25.30713227866169,-93.8032463090848,-6.739792431237959,-75.23590646166106,irreversible (forward),irreversible (forward)
93,URDGLYCD,b0517,allD,-10.52825514,5.435084855,NAD(H),NADP(H),3.7651985364088265,-41.89887748387324,22.332538383832556,-23.331537636449514,reversible,reversible
94,XAND,b2867,xdhB,-25.18368633,4.67652406,NAD(H),NADP(H),-10.890232653591173,-56.554308673873244,7.677107193832555,-37.98696882644951,irreversible (forward),reversible
